mineral,year,importer_iso,importer,exporter_iso,exporter,trade_value_usd,net_weight_kg
Cobalt,2005,JPN,Japan,FIN,Finland,163773855.0,4298850.0
Cobalt,2005,CHN,China,COD,Dem. Rep. of the Congo,153036811.0,106237611.0
Cobalt,2005,ESP,Spain,CHN,China,126091937.59,5676236.0
Cobalt,2005,FIN,Finland,COD,Dem. Rep. of the Congo,116070015.0,64111491.0
Cobalt,2005,KOR,Rep. of Korea,BEL,Belgium,96091565.0,2746694.0
Cobalt,2005,USA,USA,NOR,Norway,91692973.0,1859616.0
Cobalt,2005,JPN,Japan,CAN,Canada,78759806.0,2202739.0
Cobalt,2005,CHN,China,COG,Congo,73231067.0,51549347.0
Cobalt,2005,JPN,Japan,AUS,Australia,60580689.0,2431095.0
Cobalt,2005,ESP,Spain,FIN,Finland,52529353.38,1837248.0
Cobalt,2005,USA,USA,RUS,Russian Federation,51389384.0,1042223.0
Cobalt,2005,JPN,Japan,BEL,Belgium,45898205.0,944789.0
Cobalt,2005,ESP,Spain,GBR,United Kingdom,41547458.4,1607046.48
Cobalt,2005,MYS,Malaysia,USA,USA,41478325.0,9394138.0
Cobalt,2005,NOR,Norway,COG,Congo,40522949.26,5807042.0
Cobalt,2005,JPN,Japan,ZMB,Zambia,40473416.0,1278878.0
Cobalt,2005,CHN,China,ZAF,South Africa,40113123.0,26654113.0
Cobalt,2005,ESP,Spain,BEL,Belgium,39839978.5,1247680.0
Cobalt,2005,MYS,Malaysia,JPN,Japan,38620245.0,7753005.0
Cobalt,2005,GBR,United Kingdom,NLD,Netherlands,35262040.0,1168279.0
Cobalt,2006,CHN,China,COD,Dem. Rep. of the Congo,245636130.0,113749555.0
Cobalt,2006,JPN,Japan,FIN,Finland,148018174.0,4451850.0
Cobalt,2006,FIN,Finland,COD,Dem. Rep. of the Congo,125319602.0,29819797.0
Cobalt,2006,KOR,Rep. of Korea,BEL,Belgium,121251130.0,3902205.0
Cobalt,2006,CHN,China,COG,Congo,92577905.0,29227712.0
Cobalt,2006,ESP,Spain,FIN,Finland,87509132.52,3453864.0
Cobalt,2006,USA,USA,RUS,Russian Federation,80294608.0,2633317.0
Cobalt,2006,ESP,Spain,CHN,China,75313576.58,3462872.8
Cobalt,2006,USA,USA,NOR,Norway,67739730.0,2264527.0
Cobalt,2006,JPN,Japan,CAN,Canada,66827019.0,1995265.0
Cobalt,2006,MYS,Malaysia,USA,USA,65324516.0,11549530.0
Cobalt,2006,JPN,Japan,AUS,Australia,56193481.0,2486600.0
Cobalt,2006,MYS,Malaysia,JPN,Japan,55954876.0,2349397848.0
Cobalt,2006,USA,USA,CHN,China,51182912.0,1667690.0
Cobalt,2006,NOR,Norway,AUS,Australia,47621209.51,5476478.0
Cobalt,2006,ESP,Spain,GBR,United Kingdom,45048774.18,1727042.4
Cobalt,2006,ESP,Spain,BEL,Belgium,37357600.69,1151977.6
Cobalt,2006,JPN,Japan,USA,USA,36785766.0,1169724.0
Cobalt,2006,JPN,Japan,ZMB,Zambia,36289561.0,1174749.0
Cobalt,2006,USA,USA,CAN,Canada,35121017.0,998051.0
Cobalt,2007,CHN,China,COD,Dem. Rep. of the Congo,304701220.0,92472676.0
Cobalt,2007,JPN,Japan,FIN,Finland,265411405.0,4707880.0
Cobalt,2007,KOR,Rep. of Korea,BEL,Belgium,212353505.0,4220177.0
Cobalt,2007,FIN,Finland,COD,Dem. Rep. of the Congo,187943742.0,22798380.0
Cobalt,2007,CHN,China,COG,Congo,184818756.0,24982739.0
Cobalt,2007,ESP,Spain,CHN,China,124120994.94,3628435.2
Cobalt,2007,JPN,Japan,CAN,Canada,117886824.0,1997165.0
Cobalt,2007,USA,USA,NOR,Norway,107974326.0,1888249.0
Cobalt,2007,MYS,Malaysia,USA,USA,107534414.0,11674230.0
Cobalt,2007,JPN,Japan,AUS,Australia,101994562.0,2694700.0
Cobalt,2007,ESP,Spain,FIN,Finland,93311883.09,2044152.0
Cobalt,2007,USA,USA,RUS,Russian Federation,85203643.0,1562515.0
Cobalt,2007,NOR,Norway,AUS,Australia,80131758.42,4916718.0
Cobalt,2007,USA,USA,CAN,Canada,76414897.0,1425365.0
Cobalt,2007,CHN,China,CUB,Cuba,72523685.0,7459870.0
Cobalt,2007,USA,USA,CHN,China,71583650.0,1289189.0
Cobalt,2007,GBR,United Kingdom,NLD,Netherlands,70202424.0,1264544.0
Cobalt,2007,JPN,Japan,NOR,Norway,67048171.0,1133518.0
Cobalt,2007,ESP,Spain,GBR,United Kingdom,66797311.4,1752226.4
Cobalt,2007,JPN,Japan,ZMB,Zambia,57770630.0,1003250.0
Cobalt,2008,CHN,China,COD,Dem. Rep. of the Congo,1136164818.0,222263326.0
Cobalt,2008,DEU,Germany,FIN,Finland,525550952.56,8065440.0
Cobalt,2008,JPN,Japan,FIN,Finland,449358196.0,5126735.0
Cobalt,2008,DEU,Germany,GBR,United Kingdom,426615425.89,5769281.07
Cobalt,2008,KOR,Rep. of Korea,BEL,Belgium,342802037.0,4960409.0
Cobalt,2008,DEU,Germany,BEL,Belgium,339041905.83,3716248.0
Cobalt,2008,FIN,Finland,COD,Dem. Rep. of the Congo,325948940.0,46323904.0
Cobalt,2008,DEU,Germany,RUS,Russian Federation,296708834.9,3571984.0
Cobalt,2008,DEU,Germany,USA,USA,286838545.73,2928781.59
Cobalt,2008,DEU,Germany,CAN,Canada,267030710.93,2894128.0
Cobalt,2008,ESP,Spain,BEL,Belgium,232836636.16,2555902.72
Cobalt,2008,JPN,Japan,CAN,Canada,227984225.0,2721589.0
Cobalt,2008,CHN,China,COG,Congo,185036521.0,34132211.0
